Question,Bot
Consommateurs - Nourriture - Animaux,Est-ce que la COVID-19 se transmet par ce que l'on mange?,plop
Consommateurs - Nourriture - Animaux,"Est-ce qu'une solution de 0,1 % d’hypochlorite est suffisante pour éliminer un virus tel que le coronavirus?",plop
Consommateurs - Nourriture - Animaux,"Y a-t-il des précautions à prendre avec les repas, plats à emporter ou livraisons?",plop
Consommateurs - Nourriture - Animaux,Que peut faire un propriétaire d'animal qui n'est plus en mesure de lui fournir les soins requis à cause d'une perte d'emploi ou de la fermeture de son entreprise?,plop
Consommateurs - Nourriture - Animaux,Quelles sont les probabilités que nous manquions de nourriture,plop
Consommateurs - Nourriture - Animaux,j'ai peur de manquer de bouffe à cause du corona.,plop
Consommateurs - Nourriture - Animaux,Pénurie de nourriture.,plop
Consommateurs - Nourriture - Animaux,Est-ce que les refuges pour animaux doivent appliquées les consignes de la Santé Publique?,plop
Consommateurs - Nourriture - Animaux,"De retour à la maison, est-ce nécessaire de nettoyer tous mes achats?",plop
Consommateurs - Nourriture - Animaux,Est-ce que je dois laver tout ce que je rapporte de l'épicerie?,plop
Consommateurs - Nourriture - Animaux,Mon oiseau peut-il voler sur mes épaules si je suis testé positif au virus?,plop
Consommateurs - Nourriture - Animaux,Est-ce que je peux continuer à consommer des aliments en provenance de l'étranger?,plop
Consommateurs - Nourriture - Animaux,Est-il conseillé de laver les articles achetés à l’épicerie pour se débarrasser du coronavirus?,plop
Services essentiels,j'ai mal aux dents que faire?,plop
Services essentiels,Les fermes d'éoliennes vont elles rester en activité?,plop
Services essentiels,Je dois me procurer de l'équipements de travail (sécurité et protection).,plop
Services essentiels,J'ai besoin de mon service de comptabilité.,plop
Services essentiels,Où puis-je trouver la liste des médias identifiés comme étant des services essentiels ?,plop
Services essentiels,Accés aux services boursiers.,plop
Services essentiels,Quelle démarche puis-je faire si l'activité de mon entreprise n'est pas répertoriée comme prioritaire?,plop
Services essentiels,Est-ce que les constables spéciaux travaillent toujours?,plop
Services essentiels,Les entreprises associées aux urgences environnementales offrent-elles un service essentiel ?,plop
Services essentiels,Mion dépanneur va-t-il fermer?,plop
Services essentiels,Puis-je faire venir une firme de construction?,plop
Services essentiels,Les opérations des centres de répartition d’appels d’urgence sont-ils essentiels?,plop
Services essentiels,"Je dois me rendre à la quincaillerie, est-ce qu'elle sera ouverte?",plop
Services essentiels,Puis-je avoir la liste des services de sécurité publique essentiels ?,plop
Services essentiels,Est-ce que certains commerces sont des services essentiels ?,plop
Services essentiels,Liste des commerces essentiels.,plop
Services essentiels,Quelles sont les activités manufacturières jugées essentielles?,plop
Services essentiels,"Les électriciens, plombiers et services d’urgence sont-ils des services essentiels ?",plop
Services essentiels,je peu tu aller voir le médecin,plop
Services essentiels,"Mon entreprise n'est pas répertoriée comme prioritaire, que puis-je faire?",plop
Services essentiels,Est-ce que tous les services de soins de santé et de services sociaux sont des services prioritaires ?,plop
Services essentiels,Les centres venant en aide aux jeunes en difficulté et leur famille sont ils service essentiel?,plop
Services essentiels,Les Ressources intermédiaires et ressources de type familial offrent-elles un service essentiel?,plop
Services essentiels,Comment savoir si une entreprise agricole fait partie des services prioritaires?,plop
Services essentiels,Qu'est-ce qui est un service essentiel pour les infrastructures stratégiques?,plop
Habitation et logement,Comment je fais pour contacter un proche qui est en CHSLD?,plop
Habitation et logement,C'est quoi une visite virtuelle ?,plop
Habitation et logement,Est-ce que toutes les visitent sont interdites dans les CHSLD du Québec?,plop
Habitation et logement,Quel outil je peux utiliser pour contacter un proche qui est en CHSLD?,plop
Habitation et logement,Comment faire pour rester en contact avec mon parent ou mon proche qui est hébergé en CHSLD?,plop
Habitation et logement,Les déménageurs font-ils partie des services essentiels ?,plop
Habitation et logement,"Si mon proche est admis en CHSLD pendant la pandémie, pourrais-je l’accompagner au moment de son accueil?",plop
Habitation et logement,Quelles sont les précautions à prendre avant d'aller visiter un logement,plop
Habitation et logement,Peut-on exiger du gestionnaire de CHSLD une visite virtuelle ?,plop
Habitation et logement,Qui va me tenir informer de l'état de santé d'un résident en CHSLD?,plop
Habitation et logement,De quelle façon je peux maintenir le lien avec un proche qui habite en CHSLD?,plop
Habitation et logement,"Est-ce que je peux déménager ma mère, moi-même sans déménageur ?",plop
Habitation et logement,Est-que quelqu'un peut aider les résidents en CHSLDpour faire un appel téléphonique?,plop
Habitation et logement,Moyens de communication mis en place dans les CHSLD.,plop
Habitation et logement,Est-il possible d’accompagner ou d’aider une personne qui déménage dans une résidence privée pour aînés?,plop
Habitation et logement,Est-ce qu'un un déménageur peut refuser un déménagement dans les CHSLD ?,plop
Habitation et logement,Est-ce que la visite des logements est suspendue?,plop
Habitation et logement,Est-ce que des personnes sont désignées pour communiquer avec la famille d'un résident en CHSLD?,plop
Habitation et logement,La fin des baux approche et les propriétaires veulent tout de même faire visiter les logements. Doit-on limiter les visites?,plop
Habitation et logement,Liste des déménageurs durant la pandémie.,plop
Habitation et logement,Est-ce que tous les CHSLD disposent d'une visite virtuelle ?,plop
Habitation et logement,Est-il encore possible de visiter une résidence privée pour aînés avant de décider d’y emménager et de signer un bail?,plop
Habitation et logement,"Pendant la pandémie, est-ce que je peux accompagner un de mes proches au moment de son accueil?",plop
Habitation et logement,"En période de pandémie, est-ce que c'est l'établissement qui accorde les priorités ?",plop
Habitation et logement,Est-ce qu'on peut aller visiter le logement d'une personne en isolement?,plop
Autres questions,Où signaler si un organisme nous charge des frais de livraison ?,plop
Autres questions,Je veux les scénarios de propagation du coronavirus au Québec.,plop
Autres questions,"J'ai un dossier en justice qui était en cours avant la pandémie, peut-il être reporté?",plop
Autres questions,À qui s'adresser pour obtenir de l'aide pour le proche que j'aide qui se déplace en fauteuil roulant ?,plop
Autres questions,"Est-ce possible de voir un report dans mon dossier avec la Justice, où puis-je trouver l'information?",plop
Autres questions,"J'ai besoin d'aide pour l'épicerie, vers qui je dois me référer?",plop
Autres questions,"Si je suis un proche aidant et que j'ai besoin d'aide, que dois-je faire ?",plop
Autres questions,Quel est le pourcentage de cas confirmés par groupe d’âge au COVID-19 au Québec ?,plop
Autres questions,"Je veux le détail du nombre de personnes sous investigation, de cas négatifs et confirmés au Québec lié au corona.",plop
Autres questions,Donner du sang pendant la pandémie.,plop
Autres questions,"Puis-je avoir les numéros de téléphone pour avoir de l'aide à domicile, alimentaire ou un soutien financier ?",plop
Autres questions,Quel est le nombre de décès par région ?,plop
Autres questions,Existe-il des ressources pour aider les proches aidants ?,plop
Autres questions,Mesures du ministère de la Justice.,plop
Autres questions,Soutien alimentaire pour un particulier.,plop
Autres questions,Projections de propagation du corona au Québec.,plop
Autres questions,Service de soins et services à domicile.,plop
Autres questions,Puis-je connaître le nombre d’hospitalisations des malades au COVID au Québec ?,plop
Autres questions,J'aimerais avoir de l'informations sur les inspections terrain.,plop
Autres questions,Liste du nombre de cas confirmés de coronavirus par région au Québec.,plop
Autres questions,ou je peux aider ? ,plop
Autres questions,Liste du pourcentage de cas confirmés de coronavirus par groupe d’âge.,plop
Autres questions,L'Événement public numériQc a annulé est-ce parce que c'est une organisation responsable?,plop
Autres questions,Puis-je avoir le nombre de décès par région au Québec?,plop
Autres questions,comment est-ce que je peux aider le chsld,plop
Municipalités - Élections,"Dans une liste électorale, une municipalité doit prévoir quelles mesures de protection des renseignements personnels",plop
Municipalités - Élections,Le dépôt des appels d'offres public par les municipalités est possible par Postes Canada,plop
Municipalités - Élections,La nouvelle date du scrutin électoral d'une municipalité est annoncée par qui?,plop
Municipalités - Élections,Est-ce prévu de reporter le délai des dépôts de demande de révision des évaluations foncières?,plop
Municipalités - Élections,Est-ce que les citoyens de notre municipalité seront informés par le président d'élection?,plop
Municipalités - Élections,Est-ce qu'il sera possible de permettre la transmission électronique de soumissions pour le milieu municipal?,plop
Municipalités - Élections,Comment les citoyens pourront savoir à quel moment l’élection partielle sera reportée?,plop
Municipalités - Élections,Est-ce qu'on peut reporter le délai des dépôts de demande de révision du rôle de la valeur locative?,plop
Municipalités - Élections,Une municipalité peut-elle constituer et gérer un fonds d'aide alimentaire?,plop
Municipalités - Élections,Quels types de projets des municipalités reliés aux assemblées publiques de consultation exigées par les lois ou les règlements sont évalués comme prioritaires?,plop
Municipalités - Élections,Comment les municipalités vont communiquer avec les gens dans les maisons sont inondées?,plop
Municipalités - Élections,Les ventes d’immeubles pour défaut de paiement de taxes municipales ou scolaires sont-elles suspendues?,plop
Municipalités - Élections,Est-ce que les citoyens peuvent encore se faire entendre lorsque le conseil prend une décision sur une dérogation mineure ?,plop
Municipalités - Élections,Est-ce que les employés municipaux bénéficien du service de garde d'urgence en temps de pandémie?,plop
Municipalités - Élections,Quelles mesures de protection des renseignements personnels contenus dans une liste électorale une municipalité doit-elle prévoir?,plop
Municipalités - Élections,Est-il possible pour une municipalité d’émettre des reçus d’impôt aux citoyens qui contribueraient à un tel fonds?,plop
Municipalités - Élections,Qui informe les citoyens d'une municipalité de la nouvelle date du scrutin électoral?,plop
Municipalités - Élections,Où retrouve-t-on sur le Web la liste des municipalités du Québec qui sont des donataires reconnus?,plop
Municipalités - Élections,Services de garde d’urgence pour les employés des villes.,plop
Municipalités - Élections,Les municipalités doivent maintenir quels services prioritaires?,plop
Municipalités - Élections,Est-ce que les scrutins référendaires peuvent avoir lieu ?,plop
Municipalités - Élections,Une municipalité doit-elle prévoir des mesures de protection des renseignements personnels?,plop
Municipalités - Élections,Les assemblées publiques de consultation exigées par les lois ou les règlements doivent-elles être tenues?,plop
Municipalités - Élections,Y-a-t-il une trousse pour les municipalités pour les aider dans leur communication de crise avec le citoyen?,plop
Municipalités - Élections,Quels employés municipaux peuvent bénéficier des services de garde d’urgence?,plop
Santé Mental,"Je vis des crises de panique depuis que je dois rester à la maison, est-ce que c'est normal ?",plop
Santé Mental,"J'ai beaucoup de difficulté à dormir depuis que je suis confiné à la maison, je peux faire quoi pour m'aider ?",plop
Santé Mental,Garder sa santé mentale contre le virus.,plop
Santé Mental,"J'ai des problèmes de concentration, je suis agressif et je pleure souvent depuis que je dois rester à la maison, est-ce que c'est normal ?",plop
Santé Mental,"Est-ce normal d'être stressé, anxieux ou déprimé dans ce contexte de pandémie?",plop
Santé Mental,Qu'est-ce que la déprime?,plop
Santé Mental,Est-ce que des services psychologiques sont disponibles?,plop
Santé Mental,"Je vis plus de situations de colère durant mon confinement à domicile, est-ce que c'est normal ?",plop
Santé Mental,Quelles sont les possibles conséquences du confinement sur le plan psychologique et émotionnel?,plop
Santé Mental,Quels sont les réactions physiques occasionnés par la peur de la COVID-19?,plop
Santé Mental,"Je vis des moments difficiles avec mon conjoint depuis le confinement, qui peut m'aider ?",plop
Santé Mental,Un sentiment de mélancolie m'habite depuis le début de cette pandémie. Est-ce normal?,plop
Santé Mental,Un trouble de la santé mentale sur le plan psychologique et émotionnel se manifeste comment ?,plop
Santé Mental,Quel est le numéro du service Info-Social ?,plop
Santé Mental,Quel est le numéro du service Info-Social ?,plop
Santé Mental,Ou dois-je appeler pour une consultation téléphonique psychosociale ?,plop
Santé Mental,Comment m'aider dans mon quotidien difficile depuis le début de cette pandémie?,plop
Santé Mental,Est-ce que des services psychologiques sont disponibles?,plop
Santé Mental,"Quelles sont les effets possibles de la crise du coronavirus au niveau du stress, à l’anxiété et à la déprime?",plop
Santé Mental,"Je suis anxieux à cause de la crise du COVID-19, que faire ?",plop
Santé Mental,Comment je peux gérer mon stress qui est causé par mon confinement à la maison ?,plop
Santé Mental,Pouvons-nous avoir de l'aide ? Notre couple commence à trouver le délai du confinement insupportable,plop
Santé Mental,"je m'ennuie, que puis-je faire ?",plop
Santé Mental,"Je suis plus longtemps stressé depuis je dois rester à la maison, comment prendre soin de moi?",plop
Santé Mental,Je veux la définition du mot déprime.,plop
Éducation,"Mon stage doit être complété, pourquoi ?",plop
Éducation,Est-ce que les stages des étudiants doivent être reportés?,plop
Éducation,On a changé  les objectifs prédagogiques du cours.,plop
Éducation,"Mon stage doit être complété, pourquoi ?",plop
Éducation,Qui va me dire comment faire pour inscrire mon enfant au service de garde d'urgence ?,plop
Éducation,Est-ce que les élèves devront faire les épreuves ministérielles?,plop
Éducation,"je suis une intervenante de première ligne, comment je peux avoir accès aux services de garde d'urgence?",plop
Éducation,Le services de garde d’urgence esr-il ouvert le soir,plop
Éducation,"Je travaille dans un CPE, est-ce que je serai payé?",plop
Éducation,Je n'ai plus de revenu. Je ne peux payer mon prèt pour études à temps partiel,plop
Éducation,Le service de garde d’urgence est tu ouvert la nuit ?,plop
Éducation,Pourquoi mon stage doit être suspendu?,plop
Éducation,Comment inscrire nos enfants dans les services de garde d'urgence ?,plop
Éducation,Est-ce que je peux utiliser les services de garde d'urgence ?,plop
Éducation,Les enfants présents dans les services de garde d’urgence auront-ils accès à des services éducatifs?,plop
Éducation,Où trouver de l'information sur les ressources éducatives disponibles pour les parents?,plop
Éducation,Je fais quoi pour inscrire mes filles au service de garde d'urgence ?,plop
Éducation,Est-ce qu'il y a des changements dans les versements de l'aide financière?,plop
Éducation,Est-ce que les activités d'enseignement dans le domaine des sciences de la santé peuvent être maintenues?,plop
Éducation,Est-que je dois signer des documents pour le service de garde d'urgence?,plop
Éducation,Est-ce possible d'utiliser les services de garde d'urgence ?,plop
Éducation,Comment stimuler l'apprentisage à la maison?,plop
Éducation,Compléter la session d'hiver.,plop
Éducation,Les garderies en milieu familiales sont-elles accessibles au personnel de la santé?,plop
Éducation,Comment peut-on inscrire nos enfants dans les services de garde d'urgence ?,plop
Isolement volontaire,Pourquoi je dois rester en isolement ?,plop
Isolement volontaire,5. Vous habitez avec une personne symptomatique et à risque d’avoir contracté la COVID-19. Que faire?,plop
Isolement volontaire,"Fonctionnaire Québécois, est-ce que je peux faire du télétravail si j'ai des symptômes de la COVID-19 mais que je n'ai pas subi de test ?",plop
Isolement volontaire,Quelles sont les règles à suivre en isolement ?,plop
