Type,Source,Question,Reponse
QnA,Services de santé,Est-il possible d'aller porter de la nourriture ou des biens essentiels à des personnes agées qui habitent encore dans leur maison?,N/A
QnA,À propos de la COVID-19,humain,N/A
QnA,"Commerces, lieux publics et services prioritaires","Je dois me rendre à la quincaillerie, est-ce qu'elle sera ouverte?",N/A
QnA,"Commerces, lieux publics et services prioritaires",Quand ouverture centres commerciaux à Montréal,N/A
QnA,"Sports, loisirs et culture",C'est quoi les réglements de chasse et pêche durant le COVID-19,N/A
QnA,"Consignes d’isolement, symptômes et traitements",quels sont les gestes pour minimiser les risques de transmettre le covid à une personne vulnérable habitant au domicile?,N/A
QnA,À propos de la COVID-19,Je vais tu mourir du coronavirus,N/A
QnA,Services de santé,Est-ce que les visites dans les milieux de vie hospitaliers et pour personnes vulnérables sont autorisées?,N/A
QnA,Programmes d'aide et revenues,Arrêt du Programme d’aide temporaire aux travailleurs.,N/A
QnA,Transports et déplacements,Avis de renouvellement de permis de conduire,N/A
QnA,"Commerces, lieux publics et services prioritaires",Coiffeuse dans les résidences pour ainées?,N/A
QnA,À propos de la COVID-19,Nombre de cas confirmés par région,N/A
QnA,Transports et déplacements,Est-il autorisé de se déplacer en voiture avec des personnes qui ne viennent pas du même ménage?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Mesures pour personnes transplantées,N/A
QnA,Transports et déplacements,J’ai des symptômes de la COVID-19. Puis-je prendre les transports en commun ou le taxi?,N/A
QnA,Transports et déplacements,Est-il possible d'attraper le covid-19 dans un taxi ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Que faire pour diminuer les risques de propagation des virus?,N/A
QnA,"Sports, loisirs et culture",pourvoiries,N/A
QnA,"Sports, loisirs et culture",À quel moment les terrains de camping pourront-ils ouvrir?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Où peut-on se faire tester?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Centres commerciaux de Montréal: y'a-t-il une date de réouverture?,N/A
QnA,"Sports, loisirs et culture",vignoble,N/A
QnA,Famille et habitation,Pourquoi mon hôtel doit être fermé jusqu'au 13 avril ?,N/A
QnA,Programmes d'aide et revenues,Les formulaires PATT vont être en français?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Où sont les centres de prélèvements pour les tests de dépistage?,N/A
QnA,À propos de la COVID-19,Est-ce utile d'écouter la radio ou la télévision et lisez les journaux pour avoir des informations officielles ?,N/A
QnA,Transports et déplacements,"Mon voyage est déjà acheté, est-ce que je dois l'annuler par avance ?",N/A
QnA,"Sports, loisirs et culture",Est-ce que je peux aller chasser?,N/A
QnA,Municipalités,Accès aux équipements collectifs d’une municipalité,N/A
QnA,Services de santé,Puis-je aller voir ma grand-mère mourrante ?,N/A
QnA,À propos de la COVID-19,Quels sont les modes d'infections du coronavirus?,N/A
QnA,Offrir son aide,comment je peux aider l'économie québequoise,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-ce que je peux aller chez l'osthéopathe?,N/A
QnA,Services de santé,Mon père a la COVID et va mourir je peux tu aller le voir ?,N/A
QnA,Transports et déplacements,Est-ce que les trains et les avions sont sécuritaires pendant la pandémie ?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Les entreprises de services funéraires et cimetières sont-elels toujours en opération?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",J'ai un symptôme,N/A
QnA,À propos de la COVID-19,Est-ce que la covid est reliée au 5G?,N/A
QnA,Famille et habitation,Est-ce qu'on peut aller visiter le logement d'une personne en isolement?,N/A
QnA,Transports et déplacements,covoiturage,N/A
QnA,Entreprises et main d'oeuvre,Est-ce que les centres d'horticulture ont le droit de vendre et livrer leur produits?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Quand aura lieu l'ouverture des restaurants et terrasses?,N/A
QnA,"Sports, loisirs et culture","Pour une piscine privée extérieure en condo, est-ce qu'on peut installer des chaises longues?",N/A
QnA,Services de santé,Est-ce que je peux aller porter de la bouffe à mon grand père qui est une personne à risque?,N/A
QnA,Famille et habitation,Les bed-and-breakfast sont-ils ouverts?,N/A
QnA,Entreprises et main d'oeuvre,"Est-ce que je peux passer ma commande au centre de jardinage en ligne ou par téléphone, puis passer chercher ma commande?",N/A
QnA,"Commerces, lieux publics et services prioritaires",Comment va se passer l'ouverture des commerce,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Lavage des fruits et légumes pendant la pandémie.,N/A
QnA,Services de santé,Le nouveau programme en 3 mois,N/A
QnA,À propos de la COVID-19,Comment soulager les symptômes?,N/A
QnA,"Sports, loisirs et culture","Je reste à la maison, mais est-ce que je peux prendre une marche pendant la pandémie?",N/A
QnA,Transports et déplacements,Quelles sont les mesures supplémentaires qui sont prises pour rendre les autobus plus propres ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Pourquoi on ne teste pas tout le monde?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Dois-je laver tous mes achats d'épicerie avant de les ranger pour éviter de tomber malade?,N/A
QnA,"Sports, loisirs et culture",Marcher dans mon quartier,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Quoi faire pour éviter d'attraper la COVID-19 pendant que je fais mon épicerie?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Je peux tu attraper le virus sur une pognée de porte,N/A
QnA,"Commerces, lieux publics et services prioritaires",Je peux tu aller magasiner en ville?,N/A
QnA,Transports et déplacements,Je ne possède pas de voiture. Comment faire pour me rendre à mon travail sans me faire infecter ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements","je veux organiser une soirée mais nous respecterons la distanciation, est-ce ok?",N/A
QnA,Transports et déplacements,Alberta,N/A
QnA,Services de santé,Ma mère est à veille de mourir elle vient de rentrer à l'hôpital j'ai tu le droit d'aller le voir ?,N/A
QnA,Entreprises et main d'oeuvre,Mes produits sont vendus dans les marchés publics et je respecte les consignes d'hygiène,N/A
QnA,Transports et déplacements,"Si une personne vient de Calgary, doit-elle faire une quarantaine?",N/A
QnA,Transports et déplacements,Passer par le Nouveau-Brunswick?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-ce que je peux aller chez l'optométriste?,N/A
QnA,"Sports, loisirs et culture",Est-ce possible d'ouvrir une piscine extérieure dans un immeuble à plusieurs logements?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Comment distinguer allergies saisonnières et covid?,N/A
QnA,"Sports, loisirs et culture",Camping,N/A
QnA,"Commerces, lieux publics et services prioritaires","Si un client tousse et présente des symptômes, devrais-je lui dire de quitter l'épicerie?",N/A
QnA,"Commerces, lieux publics et services prioritaires",Je peux tu aller au centre d'achat?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Les masques sont-ils efficaces pour ne pas attraper le coronavirus ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Les symptômes de la grippe et de la COVID-19 sont-il différenciable?,N/A
QnA,Programmes d'aide et revenus,Que se passe-t-il avec la cessation du PATT COVID-19,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Le corona peut se fixer sur quelles surfaces ?,N/A
QnA,Famille et habitation,Quels entreprises de la construction offrent des services essentiels?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",je peux tu organiser un souper d'amis,N/A
QnA,À propos de la COVID-19,Quel est le pire qui peut m'arriver avec le covid-19,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-ce que je peux aller chez le dentiste?,N/A
QnA,Famille et habitation,"Je dois vider le logement de ma fille, est-ce permis?",N/A
QnA,"Commerces, lieux publics et services prioritaires",Avez-vous une idée de quand les lieux de culte ouvriront?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Quelle est la différence de danger que pose le virus pour différentes tranches d'âge?,N/A
QnA,Services de santé,J'avais acheté des choses essentielles pour mes parents qui sont en ressource intermédiaire je peux-tu aller leur apporter?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Que dois-je faire pour dénoncer une personne qui ne respecte pas les consignes ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements","je vis seule dans mon appartement condo, puis-je recevoir une amie?",N/A
QnA,Services de santé,Les propriétaires de résidences pour personnes agées peuvent-ils empêcher les résidents de sortir?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-il possible d'aller au restaurant avec les membres d'un autre ménage?,N/A
QnA,À propos de la COVID-19,Quels sont les médias le plus fiables pour m'informer de la situation de la COVID-19?,N/A
QnA,Écoles et éducation,Quelle est la raison pour garder les secondaires fermées?,N/A
QnA,"Sports, loisirs et culture",Quelles sont les règles sur l'accès aux parcs nationaux?,N/A
QnA,Transports et déplacements,"Si moi mon conjoint et ses parents sont dans le même véhicule, est-ce que c'est correct?",N/A
QnA,"Consignes d’isolement, symptômes et traitements","Y a-t-il des précautions à prendre avec les repas, plats à emporter ou livraisons?",N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce qu'un couple qui ne demeure pas ensemble peut se voir?,N/A
QnA,Famille et habitation,Est-ce que je peux demander aux proches de m'aider à déménager?,N/A
QnA,Famille et habitation,Je suis inquiet des risques de transmission de la COVID-19 liés au changement de garde de mon enfant.,N/A
QnA,"Commerces, lieux publics et services prioritaires",Distanciation dans les magasins.,N/A
QnA,À propos de la COVID-19,j'aimerais vous contacter,N/A
QnA,Famille et habitation,Est-ce que je peux aller à l'hôtel si je n'ai pas de logement?,N/A
QnA,"Sports, loisirs et culture",Je peux tu envoyer mon enfant se baigner dans une piscine?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",résultat test covid,N/A
QnA,Transports et déplacements,saaq,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Quoi faire pour éviter de contaminer une personne vulnérable qui vit à la maison?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-ce que les commerces de fournitures pour les animaux sont des services essentiels ?,N/A
QnA,"Sports, loisirs et culture",est-ce que je peux marcher dehors avec ma famille,N/A
QnA,"Commerces, lieux publics et services prioritaires",Quand les soins esthétiques et corporels ouvriront-ils?,N/A
QnA,Famille et habitation,"Ma tante est propriétaire d'un motel à Québec, a t-elle le droit d'ouvrir?",N/A
QnA,"Commerces, lieux publics et services prioritaires",C'est prévu pour quand la réouverture?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce que je peux voir mon amoureux?,N/A
QnA,Soutien aux personnes,Je veux savoir si je peux retourner au travail ayant 73 ans?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Je présente des symptômes de la maladie à coronavirus qu'est-ce que je peux faire pour protéger l'entourage avec lequel je vis?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Les vêtements doivent être lavés à l'eau chaude pour tuer le virus?,N/A
QnA,"Sports, loisirs et culture",Est-ce que je peux aller faire du côte-à-côte?,N/A
QnA,Soutien aux personnes,Est-ce que les accompagnements sont permis pendant l'accouchement?,N/A
QnA,À propos de la COVID-19,Je cherche une liste des mesures prises par le gouvernement,N/A
QnA,Transports et déplacements,puis-je me rendre à Calgary?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-ce que tous les restaurants vont fermer,N/A
QnA,Transports et déplacements,Les services de transport en commun sont-ils encore en opération ?,N/A
QnA,"Sports, loisirs et culture",Qu'en est-il de l'ouverture des piscines de condo?,N/A
QnA,Famille et habitation,Est-ce que je peux aller chercher mon enfant en garde partagée dans une région fermée?,N/A
QnA,Municipalités,"La ville est-elle tenue de fermer la bibliothèque, l’aréna ou la piscine municipale?",N/A
QnA,Famille et habitation,mon animal peut-il me transmettre la covid ?,N/A
QnA,"Sports, loisirs et culture",Je cherche les mesures préventives pour ma maison que je loue,N/A
QnA,"Commerces, lieux publics et services prioritaires",À quand le déconfinement au Québec?,N/A
QnA,Soutien aux personnes,Puis-je accompagner ma femme à l'hopital si elle accouche?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Suis-plus vulnérable au corona avec mon système immunitaire affaibli?,N/A
QnA,"Commerces, lieux publics et services prioritaires","Je suis photographe, est-ce que je peux recommencer à prendre des photos de mes clients?",N/A
QnA,Famille et habitation,Garde partagée,N/A
QnA,"Commerces, lieux publics et services prioritaires",Quand les églises seront ouvertes?,N/A
QnA,Écoles et éducation,J'ai un stage de prévu cet été. est-ce que ca va avoir lieu ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce que je peux me faire contaminer àa la COVID avec de la nourriture à emporter?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Dois-je rester dans ma maison pour soutenir la liste au coronavirus?,N/A
QnA,Famille et habitation,Est-ce que je peux engager un peintre?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Dans quels cas je peux dénoncer un rassemblement?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Comment on fait pour désinfecter?,N/A
QnA,Famille et habitation,Est-ce qu'un plombier peut venir à la maison?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Que dois-je faire si je reviens de retour de voyage ?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Le service à l'automobile de McDonald est-il encore disponible?,N/A
QnA,Transports et déplacements,Est-ce que je pourrais porter un masque pour éviter de contaminer les autres dans les autocars ?,N/A
QnA,Programmes d'aide et revenus,Je n'ai pas courriel comment je peux faire ma demande pour le PATT?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Quand les salons de toilettage vont recommencer?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Faut tu que je reste chez moi pour aider à la lutte au virus?,N/A
QnA,Famille et habitation,est-ce qu'un ami peut m'aider à déménager,N/A
QnA,Transports et déplacements,Les trains roulent encore?,N/A
QnA,Services de garde,Quelle est la façon de procéder pour inscrire mes enfants au service de garde d'urgence ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Quelle sont les différences entre le coronavirus et la grippe ou l'influenza?,N/A
QnA,Famille et habitation,mes amis peuvent tu m'aider à déménager,N/A
QnA,"Sports, loisirs et culture",Peut-on aller dans les camping récupérer certains objets?,N/A
QnA,Services de santé,"Ma soeur est en phase terminale, j'aimerais aller la voir avant sont décès. Est-ce possible ?",N/A
QnA,Services de santé,Est-il possible d'aller voir mes grands-parents dans leur résidence de personnes âgées ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements","Mon enfant à trouble du spectre de l’autisme, est-il plus vulnérable?",N/A
QnA,À propos de la COVID-19,Puis-je avoir le nombre de décès par région au Québec?,N/A
QnA,À propos de la COVID-19,Quels est le principal mode d'infection du coronavirus?,N/A
QnA,Transports et déplacements,Est-il possible d'utiliser l'autobus?,N/A
QnA,Transports et déplacements,Je suis une personne en chaise roulante. Est-ce que je peux encore prendre l'autobus pour me déplacer ?,N/A
QnA,"Sports, loisirs et culture",Est-ce que je peux prendre l'air si je n'ai pas de symptômes?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce que la COVID-19 peut survivre à la congélation d’un plat ou à sa cuisson au micro-ondes ou au four?,N/A
QnA,"Commerces, lieux publics et services prioritaires",les kiosques de ventes en libre-service sont-ils ouverts?,N/A
QnA,Soutien aux personnes,"Si j'ai plus de 70 ans, est-ce que je devrais travailler ?",N/A
QnA,Transports et déplacements,Le transport en commun est-il interdit?,N/A
QnA,Famille et habitation,"Je suis femme de ménage, est-ce que je peux recommencer à faire de l'entretien ménager à domicile?",N/A
QnA,"Sports, loisirs et culture","J'aimerais ça aller chasser, c'est possible?",N/A
QnA,Services de santé,"J'ai pas le virus et je veux aller porter des biens essentiels à mes parents qui sont vulnérables, ils ont encore leur maison est-ce correct",N/A
QnA,Services de santé,Est-ce que je peux aller voir un parent en fin de vie à l'hôpital alors que je n'habite pas cette zone?,N/A
QnA,Famille et habitation,Réserver un chalet.,N/A
QnA,À propos de la COVID-19,"Liste du nombre de personnes sous investigation, de cas négatifs et confirmés au Québec à cause du coronavirus.",N/A
QnA,"Consignes d’isolement, symptômes et traitements","C'est quoi ça, N95 pour un masque?",N/A
QnA,"Commerces, lieux publics et services prioritaires",Les orthodontistes sont-ils ouverts?,N/A
QnA,"Sports, loisirs et culture",Des personnes de deux maisons différentes peuvent-elles louer le même emplacement de camping si elles dorment dans des tentes différentes?,N/A
QnA,À propos de la COVID-19,Nombre d’hospitalisations,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Que dois-je faire si je dois me placer en isolement volontaire ?,N/A
QnA,Transports et déplacements,Y'a-t-il une date pour les rassemblements intérieurs en famille?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Que dois-je faire en cas d'isolement volontaire?,N/A
QnA,Transports et déplacements,Ontario,N/A
QnA,"Consignes d’isolement, symptômes et traitements",est-ce que j'ai le droit d'aller voir ma blonde qui ne demeure pas avec moi,N/A
QnA,Transports et déplacements,"J'habite dans une région à accès limité, est-ce que je peux  avoir une livraison de colis?",N/A
QnA,Transports et déplacements,Est-ce que c'est essentiel d'aller se promener en auto?,N/A
QnA,"Sports, loisirs et culture",Je peux tu aller louer un livre à la bibli?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",C'est quoi l'isolement volontaire?,N/A
QnA,À propos de la COVID-19,Ils foutent quoi les ministres,N/A
QnA,Services de santé,Ma mère a la COVID et va mourir je peux tu aller la voir à l'hopital,N/A
QnA,Services de santé,"Est-il possible d’aller livrer de la nourriture à des personnes qui sont dans les hôpitaux, les CHSLD, les ressources intermédiaires, de type familial pour les aînés et les adultes vulnérables et les résidences privées pour aînés?",N/A
QnA,À propos de la COVID-19,Il fait quoi le premier ministre pour gérer la crise,N/A
QnA,À propos de la COVID-19,c'est quoi le covid?,N/A
QnA,"Sports, loisirs et culture",quad,N/A
QnA,Famille et habitation,Est-ce que les services d'entretien ménager résidentiel comme les femmes de ménage sont autorisées à reprendre du service?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",La dystrophie musculaire de Duchenne rent-elle plus vulnérable au COVID-19?,N/A
QnA,Programmes d'aide et revenus,Est-ce qu'il est trop tard pour soumettre sa demande au pacme?,N/A
QnA,À propos de la COVID-19,Liste du nombre d’hospitalisations au Québec à cause du coronavirus.,N/A
QnA,Famille et habitation,Les plombiers assurent toujours du service?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Comment peut-on faire la différence entre les symptômes de la COVID-19 et ceux de la grippe?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Est-ce qu'il y a possibilité d'avoir ma conjointe chez moi quelques jours?,N/A
QnA,À propos de la COVID-19,Qu'est-ce que je dois faire pour soulager mes maux de gorge?,N/A
QnA,Famille et habitation,Est-ce que les mariages pourront être autorisés avec danse pour août?,N/A
QnA,"Sports, loisirs et culture",Ça fait longtemps que j'avais loué un chalet pour début avril je vais tu être obligé d'annuler ?,N/A
QnA,Transports et déplacements,cours de moto,N/A
QnA,"Sports, loisirs et culture",Peut-on aller se baigner chez des amis?,N/A
QnA,Entreprises et main d'oeuvre,Je suis un employé qui retourne travailler. Est-ce que je dois prendre des mesures préventive?,N/A
QnA,"Sports, loisirs et culture",Quelles sont les directives d'accès aux parcs de la SEPAQ et les centres de plein air?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Quelle est la responsabilité du propriétaire d'un restaurant ou d'une épicerie quand un des clients présente des symtômes de COVID-19?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Puis-je aller à la pharmacie avec mon bébé ?,N/A
QnA,Services de santé,Je peux-tu aller porter de la bouffe à mon papi dans son centre de vieux?,N/A
QnA,Famille et habitation,Est-ce que je peux aller installer un air climatisée chez mes parents?,N/A
QnA,"Sports, loisirs et culture",Quelles sont les directives pour les séjours prévus dans des chalets à compter du mois de juillet ?,N/A
QnA,À propos de la COVID-19,Est-ce que je dois être inquiet de la propagation du corona au Québec ?,N/A
QnA,Transports et déplacements,Est-ce que mon billet d'avion sera remboursé?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Peut-on reçevoir des visiteurs parceque mon grand-père vit avec nous?,N/A
QnA,"Sports, loisirs et culture",Je cherche de l'information pour ouvrir les modules de jeux,N/A
QnA,Soutien aux personnes,Est-ce qu’un employé âgé de 70 ans devrait continuer de travailler ?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Est-ce que les soins buccodentaires vont ouvrir bientôt?,N/A
QnA,"Commerces, lieux publics et services prioritaires","J'ai un employé qui a attrapé la covid, est-ce que je dois mettre en quarantaine tous les employés qui ont été en contact avec?",N/A
QnA,"Commerces, lieux publics et services prioritaires",Puis-je ouvrir mon salon d'esthétique s'il y a une porte extérieur à quelques mètres de la porte principale?,N/A
QnA,Offrir son aide,Comment participer à l'autonomie alimentaire du Québec?,N/A
QnA,Transports et déplacements,Lorsque  le confinement va être levé quelles sont les mesures prises   pour les transports en commun pendant les heures de pointes pour respecter la distanciation.,N/A
QnA,À propos de la COVID-19,Est-ce qu'un vaccin sur la COVID-19 existe ?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Je peux tu me faire prendre en photo par un photographe à l'extérieur?,N/A
QnA,"Commerces, lieux publics et services prioritaires",les compagnies doivent-elles faire du télétravail encore,N/A
QnA,"Commerces, lieux publics et services prioritaires",Ouverture soins de la peau,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Explique la distanciation sociale.,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Qui est prioritaire pour le dépistage du corona?,N/A
QnA,Famille et habitation,Peut-on dormir à l'hôtel si on change de région?,N/A
QnA,"Sports, loisirs et culture",Ouverture marinas,N/A
QnA,"Sports, loisirs et culture",4 roues,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Quelle est la procédure à respecter en situation d'isolement volontaire?,N/A
QnA,Entreprises et main d'oeuvre,Est-ce que je dois faire des changements à mes opérations en vue de la réouverture?,N/A
QnA,Transports et déplacements,Dois-je faire une quarantaine si j'arrive du Nouveau-Brunswick?,N/A
QnA,"Sports, loisirs et culture",On fait quoi avec la réservation qu'on a faite pour une résidence touristique en juillet cet été ?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Personnes vulnérables au corona.,N/A
QnA,Transports et déplacements,J'aimerais savoir si je peux aller à Sandbanks au début d'août?,N/A
QnA,Écoles et éducation,"Bien que le stage de formation soit confirmé, je ne peux pas rencontrer les nouvelles exigences?",N/A
QnA,"Consignes d’isolement, symptômes et traitements",Les personnes avec maladies chroniques ont-elles le droit de refuser de retourner au travail?,N/A
QnA,Programmes d'aide et revenues,Quelle est la période d’application du Programme d’aide temporaire aux travailleurs PATT COVID-19?,N/A
QnA,"Sports, loisirs et culture","C'est tu possible de prolonger notre séjour, nous sommes au chalet qu'on a loué depuis cet hiver ?",N/A
QnA,Programmes d'aide et revenus,Quelle est la marche à suivre pour déposer une demande pour le pacme pour une entreprise?,N/A
QnA,Soutien aux personnes,J'ai 78 ans est-ce que je peux travailler?,N/A
QnA,Écoles et éducation,Je vais-tu pouvoir finir mon stage?,N/A
QnA,"Commerces, lieux publics et services prioritaires",Puis-je pratiquer la massothérapie à domicile?,N/A
QnA,"Consignes d’isolement, symptômes et traitements","J'ai peut-être la COVID-19, je fais quoi?",N/A
QnA,Services de santé,Ma grand-mère va mourrir seule si je ne peux pas aller la voir,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Comment rester en contact avec ses proches?,N/A
QnA,Programmes d'aide et revenues,Quelles sont les étapes pour obtenir l'aide dans le cadre du programme d'aide temporaire aux travailleurs COVID-19?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Suis-je plus à risque avec le COVID si j'ai un problème cardiaque?,N/A
QnA,Famille et habitation,"Je dois m'occuper de mon cheval, je dois prendre des précautions?",N/A
QnA,"Consignes d’isolement, symptômes et traitements",Quand recevrai-je mon diagnostic?,N/A
QnA,Offrir son aide,Est-ce que je peux donner du sang pour aider contre le virus?,N/A
QnA,"Consignes d’isolement, symptômes et traitements",Distanciation sociale.,N/A
