Question,Bot
"Commerces, lieux publics et services prioritaires",Je peux tu aller au centre d'achat?,N/A
"Consignes d’isolement, symptômes et traitements",Les masques sont-ils efficaces pour ne pas attraper le coronavirus ?,N/A
"Consignes d’isolement, symptômes et traitements",Les symptômes de la grippe et de la COVID-19 sont-il différenciable?,N/A
Programmes d'aide et revenus,Que se passe-t-il avec la cessation du PATT COVID-19,N/A
"Consignes d’isolement, symptômes et traitements",Le corona peut se fixer sur quelles surfaces ?,N/A
Famille et habitation,Quels entreprises de la construction offrent des services essentiels?,N/A
"Consignes d’isolement, symptômes et traitements",je peux tu organiser un souper d'amis,N/A
À propos de la COVID-19,Quel est le pire qui peut m'arriver avec le covid-19,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que je peux aller chez le dentiste?,N/A
Famille et habitation,"Je dois vider le logement de ma fille, est-ce permis?",N/A
"Commerces, lieux publics et services prioritaires",Avez-vous une idée de quand les lieux de culte ouvriront?,N/A
"Consignes d’isolement, symptômes et traitements",Quelle est la différence de danger que pose le virus pour différentes tranches d'âge?,N/A
Services de santé,J'avais acheté des choses essentielles pour mes parents qui sont en ressource intermédiaire je peux-tu aller leur apporter?,N/A
"Consignes d’isolement, symptômes et traitements",Que dois-je faire pour dénoncer une personne qui ne respecte pas les consignes ?,N/A
"Consignes d’isolement, symptômes et traitements","je vis seule dans mon appartement condo, puis-je recevoir une amie?",N/A
Services de santé,Les propriétaires de résidences pour personnes agées peuvent-ils empêcher les résidents de sortir?,N/A
"Commerces, lieux publics et services prioritaires",Est-il possible d'aller au restaurant avec les membres d'un autre ménage?,N/A
À propos de la COVID-19,Quels sont les médias le plus fiables pour m'informer de la situation de la COVID-19?,N/A
Écoles et éducation,Quelle est la raison pour garder les secondaires fermées?,N/A
"Sports, loisirs et culture",Quelles sont les règles sur l'accès aux parcs nationaux?,N/A
Transports et déplacements,"Si moi mon conjoint et ses parents sont dans le même véhicule, est-ce que c'est correct?",N/A
"Consignes d’isolement, symptômes et traitements","Y a-t-il des précautions à prendre avec les repas, plats à emporter ou livraisons?",N/A
"Consignes d’isolement, symptômes et traitements",Est-ce qu'un couple qui ne demeure pas ensemble peut se voir?,N/A
Famille et habitation,Est-ce que je peux demander aux proches de m'aider à déménager?,N/A
Famille et habitation,Je suis inquiet des risques de transmission de la COVID-19 liés au changement de garde de mon enfant.,N/A
"Commerces, lieux publics et services prioritaires",Distanciation dans les magasins.,N/A
À propos de la COVID-19,j'aimerais vous contacter,N/A
Famille et habitation,Est-ce que je peux aller à l'hôtel si je n'ai pas de logement?,N/A
"Sports, loisirs et culture",Je peux tu envoyer mon enfant se baigner dans une piscine?,N/A
"Consignes d’isolement, symptômes et traitements",résultat test covid,N/A
Transports et déplacements,saaq,N/A
"Consignes d’isolement, symptômes et traitements",Quoi faire pour éviter de contaminer une personne vulnérable qui vit à la maison?,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que les commerces de fournitures pour les animaux sont des services essentiels ?,N/A
"Sports, loisirs et culture",est-ce que je peux marcher dehors avec ma famille,N/A
"Commerces, lieux publics et services prioritaires",Quand les soins esthétiques et corporels ouvriront-ils?,N/A
Famille et habitation,"Ma tante est propriétaire d'un motel à Québec, a t-elle le droit d'ouvrir?",N/A
"Commerces, lieux publics et services prioritaires",C'est prévu pour quand la réouverture?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que je peux voir mon amoureux?,N/A
Soutien aux personnes,Je veux savoir si je peux retourner au travail ayant 73 ans?,N/A
"Consignes d’isolement, symptômes et traitements",Je présente des symptômes de la maladie à coronavirus qu'est-ce que je peux faire pour protéger l'entourage avec lequel je vis?,N/A
"Consignes d’isolement, symptômes et traitements",Les vêtements doivent être lavés à l'eau chaude pour tuer le virus?,N/A
"Sports, loisirs et culture",Est-ce que je peux aller faire du côte-à-côte?,N/A
Soutien aux personnes,Est-ce que les accompagnements sont permis pendant l'accouchement?,N/A
À propos de la COVID-19,Je cherche une liste des mesures prises par le gouvernement,N/A
Transports et déplacements,puis-je me rendre à Calgary?,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que tous les restaurants vont fermer,N/A
Transports et déplacements,Les services de transport en commun sont-ils encore en opération ?,N/A
"Sports, loisirs et culture",Qu'en est-il de l'ouverture des piscines de condo?,N/A
Famille et habitation,Est-ce que je peux aller chercher mon enfant en garde partagée dans une région fermée?,N/A
Municipalités,"La ville est-elle tenue de fermer la bibliothèque, l’aréna ou la piscine municipale?",N/A
Famille et habitation,mon animal peut-il me transmettre la covid ?,N/A
"Sports, loisirs et culture",Je cherche les mesures préventives pour ma maison que je loue,N/A
"Commerces, lieux publics et services prioritaires",À quand le déconfinement au Québec?,N/A
Soutien aux personnes,Puis-je accompagner ma femme à l'hopital si elle accouche?,N/A
"Consignes d’isolement, symptômes et traitements",Suis-plus vulnérable au corona avec mon système immunitaire affaibli?,N/A
"Commerces, lieux publics et services prioritaires","Je suis photographe, est-ce que je peux recommencer à prendre des photos de mes clients?",N/A
Famille et habitation,Garde partagée,N/A
"Commerces, lieux publics et services prioritaires",Quand les églises seront ouvertes?,N/A
Écoles et éducation,J'ai un stage de prévu cet été. est-ce que ca va avoir lieu ?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que je peux me faire contaminer àa la COVID avec de la nourriture à emporter?,N/A
"Consignes d’isolement, symptômes et traitements",Dois-je rester dans ma maison pour soutenir la liste au coronavirus?,N/A
Famille et habitation,Est-ce que je peux engager un peintre?,N/A
"Consignes d’isolement, symptômes et traitements",Dans quels cas je peux dénoncer un rassemblement?,N/A
"Consignes d’isolement, symptômes et traitements",Comment on fait pour désinfecter?,N/A
Famille et habitation,Est-ce qu'un plombier peut venir à la maison?,N/A
"Consignes d’isolement, symptômes et traitements",Que dois-je faire si je reviens de retour de voyage ?,N/A
"Commerces, lieux publics et services prioritaires",Le service à l'automobile de McDonald est-il encore disponible?,N/A
Transports et déplacements,Est-ce que je pourrais porter un masque pour éviter de contaminer les autres dans les autocars ?,N/A
Programmes d'aide et revenus,Je n'ai pas courriel comment je peux faire ma demande pour le PATT?,N/A
"Commerces, lieux publics et services prioritaires",Quand les salons de toilettage vont recommencer?,N/A
"Consignes d’isolement, symptômes et traitements",Faut tu que je reste chez moi pour aider à la lutte au virus?,N/A
Famille et habitation,est-ce qu'un ami peut m'aider à déménager,N/A
Transports et déplacements,Les trains roulent encore?,N/A
Services de garde,Quelle est la façon de procéder pour inscrire mes enfants au service de garde d'urgence ?,N/A
"Consignes d’isolement, symptômes et traitements",Quelle sont les différences entre le coronavirus et la grippe ou l'influenza?,N/A
Famille et habitation,mes amis peuvent tu m'aider à déménager,N/A
"Sports, loisirs et culture",Peut-on aller dans les camping récupérer certains objets?,N/A
Services de santé,"Ma soeur est en phase terminale, j'aimerais aller la voir avant sont décès. Est-ce possible ?",N/A
Services de santé,Est-il possible d'aller voir mes grands-parents dans leur résidence de personnes âgées ?,N/A
"Consignes d’isolement, symptômes et traitements","Mon enfant à trouble du spectre de l’autisme, est-il plus vulnérable?",N/A
À propos de la COVID-19,Puis-je avoir le nombre de décès par région au Québec?,N/A
À propos de la COVID-19,Quels est le principal mode d'infection du coronavirus?,N/A
Transports et déplacements,Est-il possible d'utiliser l'autobus?,N/A
Transports et déplacements,Je suis une personne en chaise roulante. Est-ce que je peux encore prendre l'autobus pour me déplacer ?,N/A
"Sports, loisirs et culture",Est-ce que je peux prendre l'air si je n'ai pas de symptômes?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que la COVID-19 peut survivre à la congélation d’un plat ou à sa cuisson au micro-ondes ou au four?,N/A
"Commerces, lieux publics et services prioritaires",les kiosques de ventes en libre-service sont-ils ouverts?,N/A
Soutien aux personnes,"Si j'ai plus de 70 ans, est-ce que je devrais travailler ?",N/A
Transports et déplacements,Le transport en commun est-il interdit?,N/A
Famille et habitation,"Je suis femme de ménage, est-ce que je peux recommencer à faire de l'entretien ménager à domicile?",N/A
"Sports, loisirs et culture","J'aimerais ça aller chasser, c'est possible?",N/A
Services de santé,"J'ai pas le virus et je veux aller porter des biens essentiels à mes parents qui sont vulnérables, ils ont encore leur maison est-ce correct",N/A
Services de santé,Est-ce que je peux aller voir un parent en fin de vie à l'hôpital alors que je n'habite pas cette zone?,N/A
Famille et habitation,Réserver un chalet.,N/A
À propos de la COVID-19,"Liste du nombre de personnes sous investigation, de cas négatifs et confirmés au Québec à cause du coronavirus.",N/A
"Consignes d’isolement, symptômes et traitements","C'est quoi ça, N95 pour un masque?",N/A
"Commerces, lieux publics et services prioritaires",Les orthodontistes sont-ils ouverts?,N/A
"Sports, loisirs et culture",Des personnes de deux maisons différentes peuvent-elles louer le même emplacement de camping si elles dorment dans des tentes différentes?,N/A
À propos de la COVID-19,Nombre d’hospitalisations,N/A
"Consignes d’isolement, symptômes et traitements",Que dois-je faire si je dois me placer en isolement volontaire ?,N/A
Transports et déplacements,Y'a-t-il une date pour les rassemblements intérieurs en famille?,N/A
"Consignes d’isolement, symptômes et traitements",Que dois-je faire en cas d'isolement volontaire?,N/A
Transports et déplacements,Ontario,N/A
"Consignes d’isolement, symptômes et traitements",est-ce que j'ai le droit d'aller voir ma blonde qui ne demeure pas avec moi,N/A
Transports et déplacements,"J'habite dans une région à accès limité, est-ce que je peux  avoir une livraison de colis?",N/A
Transports et déplacements,Est-ce que c'est essentiel d'aller se promener en auto?,N/A
"Sports, loisirs et culture",Je peux tu aller louer un livre à la bibli?,N/A
"Consignes d’isolement, symptômes et traitements",C'est quoi l'isolement volontaire?,N/A
À propos de la COVID-19,Ils foutent quoi les ministres,N/A
Services de santé,Ma mère a la COVID et va mourir je peux tu aller la voir à l'hopital,N/A
Services de santé,"Est-il possible d’aller livrer de la nourriture à des personnes qui sont dans les hôpitaux, les CHSLD, les ressources intermédiaires, de type familial pour les aînés et les adultes vulnérables et les résidences privées pour aînés?",N/A
À propos de la COVID-19,Il fait quoi le premier ministre pour gérer la crise,N/A
À propos de la COVID-19,c'est quoi le covid?,N/A
"Sports, loisirs et culture",quad,N/A
Famille et habitation,Est-ce que les services d'entretien ménager résidentiel comme les femmes de ménage sont autorisées à reprendre du service?,N/A
"Consignes d’isolement, symptômes et traitements",La dystrophie musculaire de Duchenne rent-elle plus vulnérable au COVID-19?,N/A
Programmes d'aide et revenus,Est-ce qu'il est trop tard pour soumettre sa demande au pacme?,N/A
À propos de la COVID-19,Liste du nombre d’hospitalisations au Québec à cause du coronavirus.,N/A
Famille et habitation,Les plombiers assurent toujours du service?,N/A
"Consignes d’isolement, symptômes et traitements",Comment peut-on faire la différence entre les symptômes de la COVID-19 et ceux de la grippe?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce qu'il y a possibilité d'avoir ma conjointe chez moi quelques jours?,N/A
À propos de la COVID-19,Qu'est-ce que je dois faire pour soulager mes maux de gorge?,N/A
Famille et habitation,Est-ce que les mariages pourront être autorisés avec danse pour août?,N/A
"Sports, loisirs et culture",Ça fait longtemps que j'avais loué un chalet pour début avril je vais tu être obligé d'annuler ?,N/A
Transports et déplacements,cours de moto,N/A
"Sports, loisirs et culture",Peut-on aller se baigner chez des amis?,N/A
Entreprises et main d'oeuvre,Je suis un employé qui retourne travailler. Est-ce que je dois prendre des mesures préventive?,N/A
"Sports, loisirs et culture",Quelles sont les directives d'accès aux parcs de la SEPAQ et les centres de plein air?,N/A
"Commerces, lieux publics et services prioritaires",Quelle est la responsabilité du propriétaire d'un restaurant ou d'une épicerie quand un des clients présente des symtômes de COVID-19?,N/A
"Commerces, lieux publics et services prioritaires",Puis-je aller à la pharmacie avec mon bébé ?,N/A
Services de santé,Je peux-tu aller porter de la bouffe à mon papi dans son centre de vieux?,N/A
Famille et habitation,Est-ce que je peux aller installer un air climatisée chez mes parents?,N/A
"Sports, loisirs et culture",Quelles sont les directives pour les séjours prévus dans des chalets à compter du mois de juillet ?,N/A
À propos de la COVID-19,Est-ce que je dois être inquiet de la propagation du corona au Québec ?,N/A
Transports et déplacements,Est-ce que mon billet d'avion sera remboursé?,N/A
"Consignes d’isolement, symptômes et traitements",Peut-on reçevoir des visiteurs parceque mon grand-père vit avec nous?,N/A
"Sports, loisirs et culture",Je cherche de l'information pour ouvrir les modules de jeux,N/A
Soutien aux personnes,Est-ce qu’un employé âgé de 70 ans devrait continuer de travailler ?,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que les soins buccodentaires vont ouvrir bientôt?,N/A
"Commerces, lieux publics et services prioritaires","J'ai un employé qui a attrapé la covid, est-ce que je dois mettre en quarantaine tous les employés qui ont été en contact avec?",N/A
"Commerces, lieux publics et services prioritaires",Puis-je ouvrir mon salon d'esthétique s'il y a une porte extérieur à quelques mètres de la porte principale?,N/A
Offrir son aide,Comment participer à l'autonomie alimentaire du Québec?,N/A
Transports et déplacements,Lorsque  le confinement va être levé quelles sont les mesures prises   pour les transports en commun pendant les heures de pointes pour respecter la distanciation.,N/A
À propos de la COVID-19,Est-ce qu'un vaccin sur la COVID-19 existe ?,N/A
"Commerces, lieux publics et services prioritaires",Je peux tu me faire prendre en photo par un photographe à l'extérieur?,N/A
"Commerces, lieux publics et services prioritaires",les compagnies doivent-elles faire du télétravail encore,N/A
"Commerces, lieux publics et services prioritaires",Ouverture soins de la peau,N/A
"Consignes d’isolement, symptômes et traitements",Explique la distanciation sociale.,N/A
"Consignes d’isolement, symptômes et traitements",Qui est prioritaire pour le dépistage du corona?,N/A
Famille et habitation,Peut-on dormir à l'hôtel si on change de région?,N/A
"Sports, loisirs et culture",Ouverture marinas,N/A
"Sports, loisirs et culture",4 roues,N/A
"Consignes d’isolement, symptômes et traitements",Quelle est la procédure à respecter en situation d'isolement volontaire?,N/A
Entreprises et main d'oeuvre,Est-ce que je dois faire des changements à mes opérations en vue de la réouverture?,N/A
Transports et déplacements,Dois-je faire une quarantaine si j'arrive du Nouveau-Brunswick?,N/A
"Sports, loisirs et culture",On fait quoi avec la réservation qu'on a faite pour une résidence touristique en juillet cet été ?,N/A
"Consignes d’isolement, symptômes et traitements",Personnes vulnérables au corona.,N/A
Transports et déplacements,J'aimerais savoir si je peux aller à Sandbanks au début d'août?,N/A
Écoles et éducation,"Bien que le stage de formation soit confirmé, je ne peux pas rencontrer les nouvelles exigences?",N/A
"Consignes d’isolement, symptômes et traitements",Les personnes avec maladies chroniques ont-elles le droit de refuser de retourner au travail?,N/A
Programmes d'aide et revenues,Quelle est la période d’application du Programme d’aide temporaire aux travailleurs PATT COVID-19?,N/A
"Sports, loisirs et culture","C'est tu possible de prolonger notre séjour, nous sommes au chalet qu'on a loué depuis cet hiver ?",N/A
Programmes d'aide et revenus,Quelle est la marche à suivre pour déposer une demande pour le pacme pour une entreprise?,N/A
Soutien aux personnes,J'ai 78 ans est-ce que je peux travailler?,N/A
Écoles et éducation,Je vais-tu pouvoir finir mon stage?,N/A
"Commerces, lieux publics et services prioritaires",Puis-je pratiquer la massothérapie à domicile?,N/A
"Consignes d’isolement, symptômes et traitements","J'ai peut-être la COVID-19, je fais quoi?",N/A
Services de santé,Ma grand-mère va mourrir seule si je ne peux pas aller la voir,N/A
"Consignes d’isolement, symptômes et traitements",Comment rester en contact avec ses proches?,N/A
Programmes d'aide et revenues,Quelles sont les étapes pour obtenir l'aide dans le cadre du programme d'aide temporaire aux travailleurs COVID-19?,N/A
"Consignes d’isolement, symptômes et traitements",Suis-je plus à risque avec le COVID si j'ai un problème cardiaque?,N/A
Famille et habitation,"Je dois m'occuper de mon cheval, je dois prendre des précautions?",N/A
"Consignes d’isolement, symptômes et traitements",Quand recevrai-je mon diagnostic?,N/A
Offrir son aide,Est-ce que je peux donner du sang pour aider contre le virus?,N/A
"Consignes d’isolement, symptômes et traitements",Distanciation sociale.,N/A
"Sports, loisirs et culture",L'hébergement en pourvoirie est-il permis pour une cellule familiale?,N/A
Entreprises et main d'oeuvre,Où je peux trouver la fiche à consulter pour les livreurs à domicile?,N/A
Transports et déplacements,est-ce que la SAAQ est ouverte?,N/A
Services de santé,À qui puis-je donner les effets de ma mère qui vit en CHSLD pour qu'elle les reçoivent?,N/A
"Consignes d’isolement, symptômes et traitements",Les fumeurs sont-ils plus à risque de complications du COVID?,N/A
Famille et habitation,Est-ce qu'un ami peut m'aider à déménager?,N/A
"Consignes d’isolement, symptômes et traitements","C'est quoi ça, N95 pour un masque?",N/A
"Sports, loisirs et culture",C'est quoi que je dois faire pour éviter le COVID-19 dans mon AirBnb,N/A
"Commerces, lieux publics et services prioritaires",Quand est-ce que le mail va ouvrir?,N/A
"Consignes d’isolement, symptômes et traitements",Les fumeurs sont-ils plus à risque de complications du COVID?,N/A
"Consignes d’isolement, symptômes et traitements",Quelle est l'alternative aux gants pour les manipulateurs d'aliments?,N/A
"Consignes d’isolement, symptômes et traitements",Quelle est la position légale du gouvernement canadien sur les voyageurs de retour?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce correct de porter un masque plusieurs jours de suite?,N/A
"Commerces, lieux publics et services prioritaires",Quand les salons de coiffure ouvriront-ils ?,N/A
"Sports, loisirs et culture",Quand est-ce que je vais pouvoir faire du 4 roues?,N/A
Famille et habitation,Est-ce que je peux engager pour certains travaux à l'intérieur de mon domicile?,N/A
Transports et déplacements,"Je réside au Nouveau-Brunswick, si je me rends au Québec, dois-je me confiner 14 jours à mon arrivée au Québec?",N/A
"Sports, loisirs et culture",À quand l'ouverture des marinas?,N/A
"Commerces, lieux publics et services prioritaires",J'ai besoin de produits pour exploitations agricoles.,N/A
Entreprises et main d'oeuvre,Je suis propriétaire d’un supermarché ou d’une épicerie qui peut accueillir plus de 250 personnes par jour. Que dois-je faire?,N/A
"Commerces, lieux publics et services prioritaires",les bureaux peuvent-ils réouvrir même si je peux travailler à distance,N/A
Famille et habitation,Quelle mesure de sécurité je dois prendre si je dois aller visiter un appartement à louer?,N/A
Famille et habitation,Est-ce qu'un électricien peut venir à mon domicile pour travailler?,N/A
Services de santé,La visite dans les hôpitaux est-elle permise pour les proches aidants?,N/A
"Commerces, lieux publics et services prioritaires",Toilettage à domicile,N/A
