Question,Golden reponse
le service de ménage à domicile est-il autorisé?,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.204
Information sur l'aide temporaire aux travailleurs (PATT),"Le gouvernement fédéral a annoncé le 25 mars le programme Prestation canadienne d’urgence (PCU), qui représente une aide financière de 2 000 $ par mois pour les travailleurs qui sont victimes de la pandémie de COVID-19.
Tous les Canadiens qui ne peuvent plus travailler à cause de la COVID-19, qu’ils soient admissibles ou non à l’assurance‑emploi, y ont droit, notamment :
*   Ceux qui ont perdu des revenus à cause de la COVID-19 (dont ceux qui ont toujours un emploi, mais qui ne reçoivent aucun r [...]",0.91
chasse et pêche,"Les dates pour l’ouverture des saisons de chasse et de pêche sont maintenues, mais les amateurs de chasse et de pêche seront tenus de respecter les interdictions gouvernementales. Ainsi, ils devront se conformer en tout temps aux directives et recommandations de la Direction nationale de la santé publique visant à endiguer l’épidémie de COVID-19, notamment :
*   Éviter de se déplacer d’une région ou d’une ville à l’autre, sauf en cas de nécessité. Les déplacements en lien avec les loisirs ne son [...]",1
"En ce qui concerne la fermeture des lieux publics où se tiennent des activités de loisirs et de sports, qu’en est-il?","À partir du 20 mai 2020, la pratique récréative individuelle sans contact sera permise pour les activités suivantes pour l’ensemble des régions.
**Activités de loisir en pratique libre non organisée**
*   Canot et kayak d’eau vive et d’eau calme
*   Course à pied
*   Escalade de rocher
*   Kitesurf
*   Pêche à la journée
*   Planche à pagaie
*   Plongée sous-marine, apnée sportive extérieure
*   Randonnée à cheval extérieure
*   Randonnée pédestre
*   Surf
**Activités sportives récréatives indiv [...]",1
es que les toilettage dans les clinique vétérinaire sont ouvert,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.609
ma mère de 96 ans est confinée à sa résidence. quand pourrons-nous la visiter?,"Depuis le 13 mars 2020, les visites dans les CHSLD sont interdites afin de protéger les personnes les plus vulnérables ainsi que les travailleuses et travailleurs du réseau de la santé et des services sociaux, sauf pour des raisons humanitaires.
Ainsi, dans le cas de la fin de vie imminente, la présence d’une ou deux personnes significatives auprès de la personne est permise.",0.745
quoi planter en juin ?,"*   [Soutenir le réseau de la santé](https://jecontribuecovid19.gouv.qc.ca/) 
*   [Participer à une étude clinique pour le traitement des personnes testées positives à la COVID-19](https://www.colcorona.org/) 
*   [Soutenir le réseau des services de garde éducatifs à l'enfance](https://www.quebec.ca/famille-et-soutien-aux-personnes/servicesgardeeducatifsenfance-covid19/#c58397)
*   [Donnez du sang](https://www.hema-quebec.qc.ca/index.fr.html) 
*   [Devenir bénévole](https://www.jebenevole.ca/)",0.145
passage d’un niveau à l’autre,"Si vous ou votre enfant avez des irritations de la peau ou une réaction allergique ou inflammatoire de la peau lorsque vous vous lavez les mains avec du gel hydroalcoolique, veuillez cesser l’utilisation de ce produit. Utilisez plutôt de l’eau et du savon pour vous laver les mains. Le lavage fréquent des mains et le lavage des mains avec du gel hydroalcoolique peuvent causer une sécheresse de la peau. Afin de prévenir cette sécheresse, il est recommandé d’appliquer de la crème hydratante sur les [...]",0.199
Les lieux publics,"À partir du 20 mai 2020, la pratique récréative individuelle sans contact sera permise pour les activités suivantes pour l’ensemble des régions.
**Activités de loisir en pratique libre non organisée**
*   Canot et kayak d’eau vive et d’eau calme
*   Course à pied
*   Escalade de rocher
*   Kitesurf
*   Pêche à la journée
*   Planche à pagaie
*   Plongée sous-marine, apnée sportive extérieure
*   Randonnée à cheval extérieure
*   Randonnée pédestre
*   Surf
**Activités sportives récréatives indiv [...]",0.585
Consignes pour les personnes vulnérables et leurs proches,"Il est recommandé de restreindre ses déplacements le plus possible et, à toutes les personnes qui n’offrent pas de services essentiels, de rester à la maison. Toutefois, il est possible de garder les enfants d'une personne qui n’a pas accès aux services de garde ou pour qui l’enfant ne peut retourner à l’école si cela est nécessaire et que les conditions suivantes sont respectées :
*   vous êtes en bonne santé;
*   aucune des personnes ne présente des symptômes de fièvre, d’apparition ou d’aggra [...]",0.238
les parcs municipaux sont-ils ouverts?,"Il est recommandé d’élaborer un plan particulier d’intervention en cas d’épidémie ou de pandémie.
Le ministère des Affaires municipales et de l’Habitation a préparé un guide pour soutenir le milieu municipal à cet égard :
*   [Guide pour l’élaboration d’un Plan particulier d’intervention en cas d’épidémie et de pandémie à l’intention des municipalités (PDF 1,14 Mo)](https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/affaires-municipales/publications-adm/documents/COVID-19/covid19_guide_aux_munici [...]",1
chasse et peche,"Les dates pour l’ouverture des saisons de chasse et de pêche sont maintenues, mais les amateurs de chasse et de pêche seront tenus de respecter les interdictions gouvernementales. Ainsi, ils devront se conformer en tout temps aux directives et recommandations de la Direction nationale de la santé publique visant à endiguer l’épidémie de COVID-19, notamment :
*   Éviter de se déplacer d’une région ou d’une ville à l’autre, sauf en cas de nécessité. Les déplacements en lien avec les loisirs ne son [...]",0.287
une entreprise permet à un employé de suivre une formation de 10 heures.  comment se calcule le remboursement du pacme aura-t-elle droit?,"Si vous ou votre enfant avez des irritations de la peau ou une réaction allergique ou inflammatoire de la peau lorsque vous vous lavez les mains avec du gel hydroalcoolique, veuillez cesser l’utilisation de ce produit. Utilisez plutôt de l’eau et du savon pour vous laver les mains. Le lavage fréquent des mains et le lavage des mains avec du gel hydroalcoolique peuvent causer une sécheresse de la peau. Afin de prévenir cette sécheresse, il est recommandé d’appliquer de la crème hydratante sur les [...]",0.409
est-ce que une personne peut aller voir une autre personne à son domicile,Les établissements de santé tolèrent les visites en cas de situations exceptionnelles ou humanitaires. Le gouvernement du Québec interdit les visites non essentielles.,0.266
suis je à risque si j’ai 69ans ,"Dans un contexte de pandémie, de nombreuses personnes vivront des réactions de stress, d’anxiété et de déprime. Pour vous aider à minimiser les répercussions de telles réactions dans votre vie, consultez la page [Stress, anxiété et déprime associés à la maladie à coronavirus COVID‑19](https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/stress-anxiete-et-deprime-associes-a-la-maladie-a-coronavirus-covid-19/).
Aucun traitement spécifique ni vaccin n’existe pour la COVID‑19. Des tra [...]",0.215
Est-ce que je dois laver tous les articles emballés achetés à l’épicerie?,Il n’existe actuellement aucune preuve suggérant que la nourriture est une source ou une voie probable de transmission de la COVID-19. Le lavage usuel des fruits et légumes et l’application des bonnes pratiques de préparation d’aliments sont toujours recommandés.,0.59
climatisation,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",1
dépistage?,"Toute personne qui a des symptômes s’apparentant à ceux de la [COVID‑19](https://www.quebec.ca/sante/problemes-de-sante/a-z/informations-generales-sur-le-coronavirus/#c46469) doit appeler la ligne [1 877 644‑4545](tel:+1-877-644-4545) pour être dirigée, au besoin, vers la ressource appropriée.
De plus, pour les personnes résidant dans des régions ou des quartiers où l’on observe une plus haute densité de transmission communautaire qui développent des symptômes doivent consulter le site Web de le [...]",1
centre d'achat,"Si vous ou votre enfant avez des irritations de la peau ou une réaction allergique ou inflammatoire de la peau lorsque vous vous lavez les mains avec du gel hydroalcoolique, veuillez cesser l’utilisation de ce produit. Utilisez plutôt de l’eau et du savon pour vous laver les mains. Le lavage fréquent des mains et le lavage des mains avec du gel hydroalcoolique peuvent causer une sécheresse de la peau. Afin de prévenir cette sécheresse, il est recommandé d’appliquer de la crème hydratante sur les [...]",0.326
c'est quoi l'empéciline,"Dans un contexte de pandémie, de nombreuses personnes vivront des réactions de stress, d’anxiété et de déprime. Pour vous aider à minimiser les répercussions de telles réactions dans votre vie, consultez la page [Stress, anxiété et déprime associés à la maladie à coronavirus COVID‑19](https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/stress-anxiete-et-deprime-associes-a-la-maladie-a-coronavirus-covid-19/).
Aucun traitement spécifique ni vaccin n’existe pour la COVID‑19. Des tra [...]",0.251
je besoin savoir sur mon prêt et bource,#!builtin_text-bz4RRq,0.131
on as tu le droit de prendre des passagers dans notre voiture ,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.664
ouverture des commerces,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",1
désolé je n'ai pas bien compris votre question.  pouvez-vous reformuler votre question?,Désolé. Je ne suis pas un robot de conversation. Mon rôle est de répondre le plus efficacement possible à vos questions sur la COVID-19.,0.266
c'est quoi le covid-19?,"En décembre 2019, l'Organisation mondiale de la Santé a été alertée de plusieurs cas de pneumonie à Wuhan, en Chine. Le virus responsable de la maladie ne correspondait à aucun autre virus connu. Le 7 janvier 2020, la Chine a confirmé avoir détecté un nouveau virus de la famille des coronavirus responsable de cette nouvelle maladie nommée la COVID‑19.
Pour en savoir plus, consultez la page sur la [Situation du coronavirus (COVID‑19) au Québec](https://www.quebec.ca/sante/problemes-de-sante/a-z/c [...]",1
pouvons-nous pratiquer le yoga extérieur?,"Le coronavirus (COVID‑19) peut vivre sur les objets et surfaces. Sa durée de vie est de quelques heures à plusieurs jours. Cela dépend notamment du type de surface (par exemple : cuivre, carton, acier inoxydable, plastique), de la température et de l’humidité ambiante.
Il est donc important que vous laviez les comptoirs, les lavabos, les poignées de porte et toutes les surfaces fréquemment touchées par les mains. Le nettoyage et la désinfection sont très efficaces pour éliminer le virus.
 [...]",0.35
Est-il possible d’accéder à l’une de ces régions pour aller chercher son enfant dans un contexte de garde partagée?,"Si vous ou votre enfant avez des irritations de la peau ou une réaction allergique ou inflammatoire de la peau lorsque vous vous lavez les mains avec du gel hydroalcoolique, veuillez cesser l’utilisation de ce produit. Utilisez plutôt de l’eau et du savon pour vous laver les mains. Le lavage fréquent des mains et le lavage des mains avec du gel hydroalcoolique peuvent causer une sécheresse de la peau. Afin de prévenir cette sécheresse, il est recommandé d’appliquer de la crème hydratante sur les [...]",1
